engine_number,block_type,flight_number,flight_type,launch_date,launch_pad,landing_location,turnaround_time,engine_status,total_launches
B1027,4,N/A,N/A,Manufactured in 2016[42],N/A,N/A,N/A,N/A,1
B1028,4,—[c],—[,2016-09-03,Precluded[46],Precluded,N/A,Destroyed,1
B1029,4,F9-029,F9,2017-01-14,Success (SLC‑4E),Success (JRTI),N/A,Retired,2
B1029,4,F9-036,F9,2017-06-23,Success (LC‑39A),Success (OCISLY)[49],160 days,Retired,2
B1030,4,F9-031,F9,2017-03-16,Success (LC‑39A),No attempt[51],N/A,Expended,1
B1031,4,F9-030,F9,2017-02-19,Success (LC‑39A),Success (LZ‑1)[53],N/A,Retired,2
B1031,4,F9-043,F9,2017-10-11,Success (LC‑39A),Success (OCISLY),234 days,Retired,2
B1032,4,F9-033,F9,2017-05-01,Success (LC‑39A),Success (LZ‑1),N/A,Expended,2
B1032,4,F9-048,F9,2018-01-31,Success (SLC‑40),No attempt[d],275 days,Expended,2
B1033,4,FH-001,FH,2018-02-06,Success (LC‑39A),Failure (OCISLY),N/A,Destroyed,1
B1034,4,F9-034,F9,2017-05-15,Success (LC‑39A),No attempt[51],N/A,Expended,1
B1035,4,F9-035,F9,2017-06-03,Success (LC‑39A),Success (LZ‑1),N/A,Retired,2
B1035,4,F9-045,F9,2017-12-15,Success (SLC‑40),Success (LZ‑1)[63],195 days,Retired,2
B1036,4,F9-037,F9,2017-06-25,Success (SLC‑4E),Success (JRTI),N/A,Expended,2
B1036,4,F9-046,F9,2017-12-23,Success (SLC‑4E),No attempt,181 days,Expended,2
B1037,4,F9-038,F9,2017-07-05,Success (LC‑39A),No attempt[51],N/A,Expended,1
B1038,4,F9-040,F9,2017-08-24,Success (SLC‑4E),Success (JRTI),N/A,Expended,2
B1038,4,F9-049,F9,2018-02-22,Success (SLC‑4E),No attempt[51],182 days,Expended,2
B1039,4,F9-039,F9,2017-08-14,Success (LC‑39A),Success (LZ‑1),N/A,Expended,2
B1039,4,F9-052,F9,2018-04-02,Success (SLC‑40),No attempt[70],231 days,Expended,2
B1040,4,F9-041,F9,2017-09-07,Success (LC‑39A),Success (LZ‑1),N/A,Expended,2
B1040,4,F9-056,F9,2018-06-04,Success (SLC‑40)[73],No attempt[51],270 days,Expended,2
B1041,4,F9-042,F9,2017-10-09,Success (SLC‑4E),Success (JRTI),N/A,Expended,2
B1041,4,F9-051,F9,2018-03-30,Success (SLC‑4E),No attempt[76],172 days,Expended,2
B1042,4,F9-044,F9,2017-10-30,Success (LC‑39A),Success (OCISLY),N/A,Retired,1
B1043,4,F9-047,F9,2018-01-08,Success (SLC‑40)[80],Success (LZ‑1),N/A,Expended,2
B1043,4,F9-055,F9,2018-05-22,Success (SLC‑4E),No attempt[51],134 days,Expended,2
B1044,4,F9-050,F9,2018-03-06,Success (SLC‑40),No attempt[69],N/A,Expended,1
B1045,4,F9-053,F9,2018-04-18,Success (SLC‑40),Success (OCISLY),N/A,Expended,2
B1045,4,F9-057,F9,2018-06-29,Success (SLC‑40)[81],No attempt[3],72 days,Expended,2
B1046,5,F9-054,F9,2018-05-11,Success (LC‑39A),Success (OCISLY),N/A,Destroyed,4
B1047,5,F9-058,F9,2018-07-22,Success (SLC‑40),Success (OCISLY),N/A,Expended,3
B1048,5,F9-059,F9,2018-07-25,Success (SLC‑4E),Success (JRTI),N/A,Destroyed,5
B1050,5,F9-065,F9,2018-12-05,Success (SLC‑40),Failure (LZ‑1),N/A,Destroyed,1
B1053,5,FH-002,FH,2019-04-11,Success (LC‑39A),Success (LZ‑2)[124],N/A,Expended,3
B1063,5,F9-099,F9,2020-11-21,Success (SLC‑4E),Success (LZ‑4),N/A,Awaiting Assignment,24
B1063,5,F9-119,F9,2021-05-26,Success (SLC‑40),Success (JRTI),186 days,Awaiting Assignment,24
